ID,Artist,Artist Base,Title,Year,Medium,Dimensions,Qty,Edition Size,Unit Price (USD),Est. Max Raise (USD),Subject / Featured Person(s),Memorabilia / Authentication Component,Publicity-Rights Risk Tier,Recommended Structuring Path,Notes
MH-06,Murray Henderson,"Toronto, Canada",Messi Transcends,2025,Acrylic on canvas,24.375x48 in,1,1,10000,10000,Lionel Messi,No,HIGH,B (private) or C only until licensed,
MH-07,Murray Henderson,"Toronto, Canada",Mbappe,2026,Acrylic on canvas,36x36 in,1,1,18000,18000,Kylian Mbappe,No,HIGH,B (private) or C only until licensed,On exhibition at Graffiti Museum
MH-08,Murray Henderson,"Toronto, Canada",Sistine Chapel of Sports,2024,Acrylic on canvas,70x120 in,1,1,210240,210240,Multiple athletes (mixed sports collage),No,HIGH,B (private) or C only until licensed,Highest single-item price in the roster -- also highest aggregate rights exposure
MH-09,Murray Henderson,"Toronto, Canada",Wings,2022,Acrylic on canvas,96x46 in,1,1,35000,35000,Michael Jordan,No,HIGH,B (private) or C only until licensed,
MH-10,Murray Henderson,"Toronto, Canada","King James 40,000 Points",2023,Acrylic on canvas,48x48 in,1,1,22000,22000,LeBron James,No,HIGH,B (private) or C only until licensed,
MH-11,Murray Henderson,"Toronto, Canada",Wade to LeBron,2022,Acrylic on canvas,40x40 in,1,1,24000,24000,"Dwyane Wade (signed) + LeBron James (depicted, not signed)",Yes - signed by Dwyane Wade,MEDIUM,"B, better documented than most","Wade's own signature is at least his direct act -- still confirm the signature covers commercial/investment use, not just autograph collecting"
MH-12,Murray Henderson,"Toronto, Canada",Brady Highlights,2023,Acrylic on canvas,24x34 in,1,1,16000,16000,Tom Brady,No,HIGH,B (private) or C only until licensed,
MH-13,Murray Henderson,"Toronto, Canada",Ohtani,2024,Acrylic on canvas + signed game-used baseball from 2024 season,48x58 in,1,1,56000,56000,Shohei Ohtani,"Yes - signed game-used ball, no LOA issuer cited",MEDIUM-HIGH,"B, verify LOA before any offering doc is drafted",Confirm authenticator (team-issued hologram / PSA / JSA) before disclosing 'signed game-used' as a fact in any offering circular -- Rule 10b-5 exposure if disputed
MH-14,Murray Henderson,"Toronto, Canada",Patrick Mahomes,2024,Acrylic on canvas + football signed by Mahomes (Fanatics hologram),59x69 in,1,1,48000,48000,Patrick Mahomes,Yes - Fanatics hologram authentication,LOW-MEDIUM,A or B once likeness license obtained,Authentication is solid (Fanatics); publicity-rights consent for the painted likeness itself is still undocumented
MH-15,Murray Henderson,"Toronto, Canada",Mike Tyson,2023,Acrylic on canvas + signed by Mike Tyson (full LOA from JSA),43x51 in,1,1,75000,75000,Mike Tyson,Yes - full LOA from JSA,LOW-MEDIUM,A or B once likeness license obtained,Best-documented authentication in the roster (JSA full LOA) -- still need a separate likeness/publicity release for the painted portrait itself
MH-16,Murray Henderson,"Toronto, Canada",Michael Jordan Wings,2024,Acrylic on canvas + game-used floor signed by Jordan,96x46 in,1,1,,,Michael Jordan,"Yes - signed game-used floor, no LOA issuer cited",MEDIUM-HIGH,"B, verify LOA before any offering doc is drafted",Price upon request
MH-17,Murray Henderson,"Toronto, Canada",Wayne Gretzky Rookie 2nd Hat Trick Stick,2024,"Acrylic on canvas + signed hockey stick from Gretzky's 2nd career hat trick, 3/21/1980 (LOA from PSA and JSA)",87x55 in,1,1,,,Wayne Gretzky,Yes - dual LOA from PSA and JSA,LOW-MEDIUM,A or B once likeness license obtained,Price upon request. Dual-authenticator LOA (PSA + JSA) is the strongest provenance file in the whole catalog
DW-01,Dwyane Wade,"Los Angeles, CA",Logo Man (19x46 in),2014,Acrylic on 2014 All-Star Game used floor,19x46 in,1,1,8000,8000,"None (abstract figure, artist is the subject-adjacent athlete)","Yes - game floor provenance implied, no LOA cited",LOW,"A or B, strong candidate",Wade IS the artist -- he owns full rights to his own painted work. Best rights posture of any piece with an athlete connection in the roster
DW-02,Dwyane Wade,"Los Angeles, CA",Logo Man (22x22 in),2014,Acrylic on 2014 All-Star Game used floor,22x22 in,1,1,4000,4000,None,"Yes - game floor provenance implied, no LOA cited",LOW,"A or B, strong candidate",
BE-01,Betirri,"Houston, TX (from Mexico)",Argentina vs Brazil,2009,Acrylic on canvas,24x36 in,1,1,7500,7500,"None (uniforms/kit only, no faces)",No,N/A - NOT DEPICTING A PERSON,"A or B, strong candidate",Headless/faceless kit compositions -- no individual likeness at all
BE-02,Betirri,"Houston, TX",River vs. Boca,2012,Acrylic on canvas,30x30 in,1,1,6000,6000,None (uniforms/kit only),No,N/A - NOT DEPICTING A PERSON,"A or B, strong candidate",
BE-03,Betirri,"Houston, TX",Derby della Madonnina,2013,Acrylic on canvas,24x36 in,1,1,7500,7500,None (uniforms/kit only),No,N/A - NOT DEPICTING A PERSON,"A or B, strong candidate",
HE-01,Jose Maria Pena Gallardo (Hyperemphatic Art),"Sevilla, Spain",Messi,2024,Oil on canvas w/ Argentine flag,99x79 in,1,1,36000,36000,Lionel Messi,No,MEDIUM,B (private) or C,"Presented to Messi at Marca America Awards -- some documented relationship, still no written commercial release"
HE-02,Jose Maria Pena Gallardo (Hyperemphatic Art),"Sevilla, Spain",Iniesta,2020,Oil on canvas w/ ball,99x79 in,1,1,36000,36000,Andres Iniesta,No,HIGH,B (private) or C only until licensed,
SA-01,Salvador Antunez,"Madrid, Spain","Carlos Sainz, Jr.",2023,Oil on canvas,83x79 in,1,1,30000,30000,Carlos Sainz Jr.,No,HIGH,B (private) or C only until licensed,
EM-01,Elena Montull,"Barcelona, Spain",Tom Brady,2024,Oil on canvas,99x79 in,1,1,36000,36000,Tom Brady,No,HIGH,B (private) or C only until licensed,
EM-02,Elena Montull,"Barcelona, Spain",Most Grand Slams Ever (23): Djokovic at Roland Garros 2023,2024,Oil on canvas + real tennis ball,115.75x79 in,1,1,40000,40000,Novak Djokovic,"Yes - real tennis ball incorporated, no LOA cited",HIGH,B (private) or C only until licensed,Confirm ball provenance/authentication before any offering claim
FJ-01,Felipe Jacome,Ecuador,Elias - Club Deportivo Union,2024,UV print on Argentine peso bills,31.5x23.6 in,1,5,5000,25000,Amateur/club player 'Elias' (not a global public figure),No,LOW,"A or B, strong candidate","Subject is a club-level, not globally famous, athlete -- materially lower publicity-rights exposure than the celebrity-heavy roster"
FJ-02,Felipe Jacome,Ecuador,Jaime - Club Aguilas de Mugica,2024,UV print on Argentine peso bills,31.5x23.6 in,1,5,5000,25000,Amateur/club player 'Jaime',No,LOW,"A or B, strong candidate",
FJ-03,Felipe Jacome,Ecuador,Miguel - Club Aguilas de Mugica,2024,UV print on Argentine peso bills,40.4x31.5 in,1,3,5000,15000,Amateur/club player 'Miguel',No,LOW,"A or B, strong candidate",
FJ-04,Felipe Jacome,Ecuador,1968 Olympics Black Power Salute,2024,"Ruby dust on UV print, orig. photo by John Dominis",39.4x29.5 in,1,5,7800,39000,"Tommie Smith & John Carlos (historical, 1968)",No - but underlying photo is a separate copyrighted work by John Dominis/Time Life,MEDIUM,"B, confirm underlying photo license first","This reproduces a specific famous copyrighted photograph -- separate from athlete publicity rights, need explicit license from the Dominis estate / Time Inc. rights holder before any offering, or this becomes a copyright claim on top of a publicity claim"
LCL-01,Le Closier,"Miami, FL (from Belgium)",Messi/Ronaldo,2024,Lenticular art,30x40 in,1,10,5000,50000,Messi + Cristiano Ronaldo,No,HIGH,B (private) or C only until licensed,"On exhibition at Graffiti Museum. Custom commission version at $6,000"
LCL-02,Le Closier,"Miami, FL",Federer in Action,2025,Lenticular art,30x40 in,1,10,5000,50000,Roger Federer,No,HIGH,B (private) or C only until licensed,"Custom commission version at $6,000"
AM-01,Agostina Mauro,"Buenos Aires, Argentina",Consagracion,2023,Oil on canvas,23.6x31.5 in,1,1,6000,6000,Lionel Messi,No,HIGH,B (private) or C only until licensed,
AM-02,Agostina Mauro,"Buenos Aires, Argentina",Sean Eternos los Laureles,2024,Oil on canvas,15.75x31.5 in,1,1,6000,6000,Lionel Messi,No,HIGH,B (private) or C only until licensed,
AM-03,Agostina Mauro,"Buenos Aires, Argentina",Argentina Victoriosa,2024,Oil on canvas,27.56x15.75 in,1,1,6000,6000,"Maradona (deceased), Messi, Ayrton Senna-style third figure (unclear)",No,HIGH,Do not securitize until estate/likeness rights cleared,Contains a deceased-person likeness (Maradona) alongside living persons
AM-04,Agostina Mauro,"Buenos Aires, Argentina",El Elegido,2026,Oil on canvas,23.6x31.5 in,1,1,6000,6000,Lionel Messi,No,HIGH,B (private) or C only until licensed,On exhibition at Graffiti Museum
SR-01,Sam Robles,"Miami, FL (from Brazil)",Raiz -- photo series (Assouline book selections),2026,"Photography, custom print sizes",Custom,1,,,,Unnamed street-football subjects (children/youth in Brazil),No,LOW-MEDIUM,"A or B, but see note","Subjects appear to be minors -- even without named individuals, using minors' images in a for-profit securitized offering needs its own model-release/guardian-consent check separate from celebrity right-of-publicity analysis"
AL-01,Anita Lewis,"Tucson, AZ",Rosso Tempesta,2025,Oil on canvas,72x36 in,1,1,19500,19500,"Charles Leclerc (Ferrari livery, likely)",No,HIGH,B (private) or C only until licensed,
AL-02,Anita Lewis,"Tucson, AZ",Miami Bull,2025,Oil on canvas,72x36 in,1,1,19500,19500,"Red Bull driver (car only, no face)",No,N/A - NOT DEPICTING A PERSON,"A or B, strong candidate",No driver face depicted
AL-03,Anita Lewis,"Tucson, AZ",Operation Sainz,2025,Oil on canvas,30x30 in,1,1,9500,9500,Carlos Sainz Jr.,No,HIGH,B (private) or C only until licensed,
AL-04,Anita Lewis,"Tucson, AZ",Charles 16,2025,"Embellished print, ed. 1/16",48x30 in,1,16,4600,73600,Charles Leclerc,No,HIGH,B (private) or C only until licensed,
AL-05,Anita Lewis,"Tucson, AZ",Silver Hammer,2025,"Print on metal backing, ed. 1/10",36x36 in,1,10,3400,34000,Lewis Hamilton (implied by helmet),No,HIGH,B (private) or C only until licensed,
AL-06,Anita Lewis,"Tucson, AZ",Charles Sparks,2025,"Embellished print, ed. 1/16",48x16 in,1,16,3000,48000,Charles Leclerc,No,HIGH,B (private) or C only until licensed,
MP-01,Mia Bella Pedroso,"Miami, FL",Beco (canvas),,Acrylic on canvas,24x36 in,1,1,10000,10000,Ayrton Senna (deceased),No,HIGH,Do not securitize until estate-rights cleared,Senna estate (Instituto Ayrton Senna) actively licenses and protects his image
MP-02,Mia Bella Pedroso,"Miami, FL",Beco (plexiglass print),,Print on acrylic plexiglass,27x40 in,1,1,6000,6000,Ayrton Senna (deceased),No,HIGH,Do not securitize until estate-rights cleared,
MP-03,Mia Bella Pedroso,"Miami, FL",Dominance,,Acrylic on canvas,30x40 in,1,1,10000,10000,Max Verstappen,No,HIGH,B (private) or C only until licensed,
